Rule,Location,GeoSize,Preferencia,MinSKU,MaxSKU,Active
1.0,SKLC3-PRJ-TEST-01,BPO,36.0,1.0,1.0,True
2.0,SKLC3-PRJ-TEST-02,SPO,35.0,1.0,1.0,True
3.0,SKLC3-PRJ-TEST-03,XPO,34.0,1.0,1.0,True
4.0,SKLC3-PRJ-TEST-04,XL,33.0,1.0,1.0,True
5.0,SKLC3-PRJ-TEST-05,VB,32.0,1.0,1.0,True
6.0,SKLC3-PRJ-TEST-06,BPO,31.0,2.0,999.0,True
7.0,SKLC3-PRJ-TEST-07,SPO,30.0,2.0,999.0,True
8.0,SKLC3-PRJ-TEST-08,XPO,29.0,2.0,999.0,True
9.0,SKLC3-PRJ-TEST-09,XL,28.0,2.0,999.0,True
10.0,SKLC3-PRJ-TEST-10,VB,27.0,2.0,999.0,True
11.0,SKLC3-PRJ-TEST-11,"BPO,SPO",26.0,2.0,999.0,True
12.0,SKLC3-PRJ-TEST-12,"BPO,XPO",25.0,2.0,999.0,True
13.0,SKLC3-PRJ-TEST-13,"BPO,XL",24.0,2.0,999.0,True
14.0,SKLC3-PRJ-TEST-14,"BPO,VB",23.0,2.0,999.0,True
15.0,SKLC3-PRJ-TEST-15,"SPO,XPO",22.0,2.0,999.0,True
16.0,SKLC3-PRJ-TEST-16,"SPO,XL",21.0,2.0,999.0,True
17.0,SKLC3-PRJ-TEST-17,"SPO,VB",20.0,2.0,999.0,True
18.0,SKLC3-PRJ-TEST-18,"XPO,XL",19.0,2.0,999.0,True
19.0,SKLC3-PRJ-TEST-19,"XPO,VB",18.0,2.0,999.0,True
20.0,SKLC3-PRJ-TEST-20,"XL,VB",17.0,2.0,999.0,True
21.0,SKLC3-PRJ-TEST-21,"BPO,SPO,XPO",16.0,2.0,999.0,True
22.0,SKLC3-PRJ-TEST-22,"BPO,SPO,XL",15.0,2.0,999.0,True
23.0,SKLC3-PRJ-TEST-23,"BPO,SPO,VB",14.0,2.0,999.0,True
24.0,SKLC3-PRJ-TEST-24,"BPO,XPO,XL",13.0,2.0,999.0,True
25.0,SKLC3-PRJ-TEST-25,"BPO,XPO,VB",12.0,2.0,999.0,True
26.0,SKLC3-PRJ-TEST-26,"BPO,XL,VB",11.0,2.0,999.0,True
27.0,SKLC3-PRJ-TEST-27,"SPO,XPO,XL",10.0,2.0,999.0,True
28.0,SKLC3-PRJ-TEST-28,"SPO,XPO,VB",9.0,2.0,999.0,True
29.0,SKLC3-PRJ-TEST-29,"SPO,XL,VB",8.0,2.0,999.0,True
30.0,SKLC3-PRJ-TEST-30,"XPO,XL,VB",7.0,2.0,999.0,True
31.0,SKLC3-PRJ-TEST-31,"BPO,SPO,XPO,XL",6.0,2.0,999.0,True
32.0,SKLC3-PRJ-TEST-32,"BPO,SPO,XPO,VB",5.0,2.0,999.0,True
33.0,SKLC3-PRJ-TEST-33,"BPO,SPO,XL,VB",4.0,2.0,999.0,True
34.0,SKLC3-PRJ-TEST-34,"BPO,XPO,XL,VB",3.0,2.0,999.0,True
35.0,SKLC3-PRJ-TEST-35,"SPO,XPO,XL,VB",2.0,2.0,999.0,True
36.0,SKLC3-PRJ-TEST-36,"BPO,SPO,XPO,XL,VB",1.0,2.0,999.0,True
